index;Conference Title;Book Title;Series;Description;Mtg Year;POD Publisher;Publ Year;wikidata_index
54270;LIQUID CRYSTALS XXI  ;Liquid Crystals XXI;Proceedings of SPIE Volume 10361;Held 6-7 August 2017, San Diego, California, USA. At SPIE Organic Photonics + Electronics.;2017.0;Curran Associates, Inc.;2017;null
53726;INFRARED TECHNOLOGY AND APPLICATIONS XXXIV  ;Infrared Technology and Applications XXXIV;Proceedings of SPIE Volume 06940;Held 17-20 March 2008, Orlando, Florida, USA. At SPIE Defense and Security Symposium.;2008.0;Curran Associates, Inc.;2008; null
53866;INTERNATIONAL CONFERENCE ON EXTREME ULTRAVIOLET LITHOGRAPHY 2021  ;International Conference on Extreme Ultraviolet Lithography 2021;Proceedings of SPIE Volume 11854;Held 27 September - 1 October 2021, Online Only. At SPIE Photomask Technology + EUV Lithography.;2021.0;Curran Associates, Inc.;2021;null
52071;ADVANCES IN GLOBAL HEALTH THROUGH SENSING TECHNOLOGIES 2015  ;Advances in Global Health through Sensing Technologies 2015;Proceedings of SPIE Volume 09490;Held 20 April 2015, Baltimore, Maryland, USA. At SPIE Sensing Technology + Applications.;2015.0;Curran Associates, Inc.;2015;null
12251;CHEMISTRY AND CHEMICAL ENGINEERING IN THE 21ST CENTURY. INTERNATIONAL SCIENTIFIC CONFERENCE. 15TH 2014.  (DEDICATED TO PROFESSOR L.P. KULYOV) ;XV International Scientific Conference on Chemistry and Chemical Engineering in XXI Century 2014;Procedia Chemistry Volume 10;Held 26-29 May 2014, Tomsk, Russia. Dedicated to Professor L.P. Kulyov.;2014.0;Curran Associates, Inc.;2015;null
57613;WOMEN IN RENEWABLE ENERGY (WIRE)  ;Women in Renewable Energy (WiRE);Proceedings of SPIE Volume 11095;Held 12 August 2019, San Diego, California, USA. At SPIE Organic Photonics + Electronics.;2019.0;Curran Associates, Inc.;2019;null
49593;NEXT GENERATION REAL-TIME EMBEDDED SYSTEMS. WORKSHOP. 2020. (NG-RES 2020)  ;Workshop on Next Generation Real-Time Embedded Systems (NG-RES 2020);Open Access Series in Informatics Volume 77;Held 21 January 2020, Bologna, Italy. ;2020.0;Curran Associates, Inc.;2020;null
57030;SOLAR HYDROGEN AND NANOTECHNOLOGY X  ;Solar Hydrogen and Nanotechnology X;Proceedings of SPIE Volume 09560;Held 9-13 August 2015, San Diego, California, USA. At SPIE Optics + Photonics for Sustainable Energy.;2015.0;Curran Associates, Inc.;2015;null
13589;FOUNDATIONS OF SYSTEMS BIOLOGY IN ENGINEERING. IFAC CONFERENCE. 8TH 2019. (FOSBE 2019) ;8th IFAC Conference on Foundations of Systems Biology in Engineering (FOSBE 2019);IFAC PapersOnline Volume 52, Issue 26;Held 15-18 October 2019, Valencia, Spain. ;2019.0;Curran Associates, Inc.;2020;null
11967;STUDENT POSTERS (GENERAL). (225TH ECS MEETING) ;Student Posters (General) - 225th ECS Meeting;ECS Transactions Volume 61 No.26;Held 11-15 May 2014, Orlando, Florida, USA. ;2014.0;Curran Associates, Inc.;2016;null
13065;PLASMA-SURFACE INTERACTIONS. CONFERENCE. 18TH 2015. (PSI 2015) (AND 1ST CONFERENCE ON PLASMA AND LASER RESEARCH AND TECHNOLOGIES, PLRT 2015);18th Conference on Plasma-Surface Interactions (PSI 2015) and the 1st Conference on Plasma and Laser Research and Technologies (PLRT 2015);Physics Procedia Volume 71;Held 5-6 February 2015, Moscow, Russia and 18-20 February 2015, Moscow, Russia. ;2015.0;Curran Associates, Inc.;2015;null
53202;FOURTH EUROPEAN WORKSHOP ON OPTICAL FIBRE SENSORS  ;Fourth European Workshop on Optical Fibre Sensors;Proceedings of SPIE Volume 07653;Held 8-10 September 2010, Porto, Portugal. ;2010.0;Curran Associates, Inc.;2010; null
