index;conf_label;title;country;location;main_subject;start_time;end_time;series_label;series_short_name;beginnings;WikiCFP_identifier;DBLP_identifier
4507;25th International Conference on World Wide Web;;Canada;Montreal;;11.04.2016;15.04.2016;The Web Conference;WWW;1994.0;3182.0;conf/www
2145;9th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, ITiCSE 2004, Leeds, UK, June 28-30, 2004;9th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education;United Kingdom;Leeds;computer science;28.06.2004;30.06.2004;Annual Conference on Innovation and Technology in Computer Science Education;ITiCSE;1996.0;1790.0;conf/iticse
7300;VR 1999;IEEE Virtual Reality Conference 1999, VR 1999;United States of America;Houston;;13.03.1999;17.03.1999;Virtual Reality and 3D User Interfaces;VR;;2970.0;conf/vr
952;Information Processing in Computer-Assisted Interventions - 4th International Conference, IPCAI 2013, Heidelberg, Germany, June 26, 2013;Information Processing in Computer-Assisted Interventions - 4th International Conference;Germany;Heidelberg;;;;International Conference on Information Processing and Management of Uncertainty;IPMU;1986.0;1644.0;conf/ipmu
7636;33rd International Conference on Very Large Data Bases;33rd International Conference on Very Large Data Bases;Austria;Vienna;;23.09.2007;27.09.2007;International Conference on Very Large Data Bases;;1975.0;2954.0;conf/vldb
3888;Second IEEE International Conference on Formal Engineering Methods, ICFEM 1998, Brisbane, Queensland, Australia, December 9-11, 1998;Second IEEE International Conference on Formal Engineering Methods;Australia;Brisbane;;09.12.1998;11.12.1998;IEEE International Conference on Formal Engineering Methods;ICFEM;1997.0;1365.0;conf/icfem
229;The 8th International Semantic Web Conference;;United States of America;Washington, D.C.;Semantic Web;25.10.2009;29.10.2009;International Semantic Web Conference;ISWC;2002.0;1769.0;conf/semweb
2581;25th International Conference on Program Comprehension, ICPC 2017, Buenos Aires, Argentina, May 22-23, 2017;25th International Conference on Program Comprehension;Argentina;Buenos Aires;;22.05.2017;23.05.2017;IEEE International Conference on Program Comprehension;ICPC;;1444.0;conf/iwpc
7835;19th International Conference on Telecommunications, ICT 2012, Jounieh, Lebanon, April 23-25, 2012;19th International Conference on Telecommunications;Lebanon;Jounieh;information and communications technology;23.04.2012;25.04.2012;International Conference on Telecommunications;ICT;;1485.0;conf/ict
2561;2004 IEEE International Conference on Mobile Ad-hoc and Sensor Systems, Fort Lauderdale, FL, USA, October 25-27, 2004;2004 IEEE International Conference on Mobile Ad-hoc and Sensor Systems;United States of America;Fort Lauderdale;;25.10.2004;27.10.2004;IEEE International Conference on Mobile Adhoc and Sensor Systems;MASS;2004.0;1999.0;conf/mass
6435;ENASE 2007 - 2nd International Conference on Evaluation of Novel Approaches to Software Engineering, Barcelona, Spain, July 23-25, 2007;2nd International Conference on Evaluation of Novel Approaches to Software Engineering;Spain;Barcelona;software engineering;23.07.2007;25.07.2007;International Conference on Evaluation of Novel Approaches to Software Engineering;ENASE;2006.0;888.0;conf/enase
6215;23rd Annual Network and Distributed System Security Symposium, NDSS 2016, San Diego, California, USA, February 21-24, 2016;23rd Annual Network and Distributed System Security Symposium;United States of America;San Diego;;21.02.2016;24.02.2016;Network and Distributed System Security Symposium;NDSS;;2186.0;conf/ndss
1115;14th Eurographics Symposium on Parallel Graphics and Visualization, EGPGV@EuroVis 2014, Swansea, UK, June 9-10, 2014;14th Eurographics Symposium on Parallel Graphics and Visualization;United Kingdom;Swansea;;09.06.2014;10.06.2014;Eurographics Symposium on Parallel Graphics and Visualization;EGPGV;1996.0;858.0;conf/egpgv
7442;International Test Conference 1983, Philadelphia, PA, USA, October 1983;International Test Conference 1983;United States of America;Philadelphia;;;;International Test Conference;ITC;;1779.0;conf/itc
1209;Perspectives in Business Informatics Research - 12th International Conference, BIR 2013, Warsaw, Poland, September 23-25, 2013;Perspectives in Business Informatics Research - 12th International Conference;Poland;Warsaw;;23.09.2013;25.09.2013;Business Informatics Research;BIR;;305.0;conf/bir
