conf_label;title;country;country_qid;location;location_qid;main_subject;start_time;end_time;series_label;series_short_name;WikiCFP_identifier;DBLP_identifier
The fifth international conference on Language Resources and Evaluation;;Italy;Q38;Genoa;Q1449;;2006-05-22T00:00:00.000000;2006-05-28T00:00:00.000000;International Conference on Language Resources and Evaluation;LREC;1978;conf/lrec
Eighth International Conference on Learning Representations;Eighth International Conference on Learning Representations;Ethiopia;Q115;Addis Ababa;Q3624;deep learning;2020-04-27T00:00:00.000000;2020-04-30T00:00:00.000000;International Conference on Learning Representations;ICLR;;conf/iclr
Eighth International Conference on Learning Representations;Eighth International Conference on Learning Representations;Ethiopia;Q115;Addis Ababa;Q3624;machine learning;2020-04-27T00:00:00.000000;2020-04-30T00:00:00.000000;International Conference on Learning Representations;ICLR;;conf/iclr
IMC 2019;;United Kingdom;Q145;University of Leeds;Q503424;;2019-07-01T00:00:00.000000;2019-07-04T00:00:00.000000;International Medieval Congress;;;
The 28th International Conference on Computational Linguistics;The 28th International Conference on Computational Linguistics;Spain;Q29;Barcelona;Q1492;computational linguistics;2020-09-13T00:00:00.000000;2020-09-18T00:00:00.000000;International Conference on Computational Linguistics;COLING;533;conf/coling
Neural Information Processing Systems 2004;;Canada;Q16;Whistler;Q203122;machine learning;2004-12-13T00:00:00.000000;2004-12-18T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neural Information Processing Systems 2004;;Canada;Q16;Vancouver;Q24639;machine learning;2004-12-13T00:00:00.000000;2004-12-18T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-first National Conference on Artificial Intelligence;The Twenty-first National Conference on Artificial Intelligence;United States of America;Q30;Seaport Hotel and World Trade Center;Q38922137;;2006-07-16T00:00:00.000000;2006-07-02T00:00:00.000000;AAAI Conference on Artificial Intelligence;AAAI;3;conf/aaai
Neural Information Processing Systems 1995;Neural Information Processing Systems 1995;United States of America;Q30;Denver;Q16554;;1995-11-27T00:00:00.000000;1995-12-02T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
6th International Conference on Computational Social Science;6th International Conference on Computational Social Science;United States of America;Q30;Cambridge;Q49111;;2020-06-17T00:00:00.000000;2020-06-20T00:00:00.000000;Annual International Conference on Computational Social Science;IC2S2;;
The 3rd Annual International Conference on Computational Social Science;3rd International Conference onComputational Social Science;Germany;Q183;Maternushaus;Q15119924;computational social science;2017-07-10T00:00:00.000000;2017-07-13T00:00:00.000000;Annual International Conference on Computational Social Science;IC2S2;;
The 22nd ACM Conference on Computer-Supported Cooperative Work and Social Computing;The 22nd ACM Conference on Computer-Supported Cooperative Work and Social Computing;United States of America;Q30;Austin;Q16559;;2019-11-09T00:00:00.000000;2019-11-13T00:00:00.000000;Computer Supported Cooperative Work;;594;conf/cscw
The 55th annual meeting of the Association for Computational Linguistics;The 55th annual meeting of the Association for Computational Linguistics;Canada;Q16;Vancouver;Q24639;computational linguistics;2017-07-30T00:00:00.000000;2017-08-04T00:00:00.000000;Annual Meeting of the Association for Computational Linguistics;ACL;37;conf/acl
The 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies;The 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies;United States of America;Q30;New Orleans;Q34404;;2018-06-01T00:00:00.000000;2018-06-06T00:00:00.000000;Human Language Technology: Conference of the North American Chapter of the Association of Computational Linguistics;HLT-NAACL;2170;conf/naacl
The 2013 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies;The 2013 Conference of the North American Chapter of theAssociation for Computational Linguistics: Human Language Technologies;United States of America;Q30;Atlanta;Q23556;;2013-06-09T00:00:00.000000;2013-06-15T00:00:00.000000;Human Language Technology: Conference of the North American Chapter of the Association of Computational Linguistics;HLT-NAACL;2170;conf/naacl
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Carleton University;Q1041737;digital humanities;2020-07-22T00:00:00.000000;2020-07-25T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;University of Ottawa;Q627969;digital humanities;2020-07-22T00:00:00.000000;2020-07-25T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Ottawa;Q1930;digital humanities;2020-07-22T00:00:00.000000;2020-07-25T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Carleton University;Q1041737;digital humanities;2020-07-20T00:00:00.000000;2020-07-25T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;University of Ottawa;Q627969;digital humanities;2020-07-20T00:00:00.000000;2020-07-25T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Ottawa;Q1930;digital humanities;2020-07-20T00:00:00.000000;2020-07-25T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Carleton University;Q1041737;digital humanities;2020-07-22T00:00:00.000000;2020-07-24T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;University of Ottawa;Q627969;digital humanities;2020-07-22T00:00:00.000000;2020-07-24T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Ottawa;Q1930;digital humanities;2020-07-22T00:00:00.000000;2020-07-24T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Carleton University;Q1041737;digital humanities;2020-07-20T00:00:00.000000;2020-07-24T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;University of Ottawa;Q627969;digital humanities;2020-07-20T00:00:00.000000;2020-07-24T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2020;Digital Humanities 2020;Canada;Q16;Ottawa;Q1930;digital humanities;2020-07-20T00:00:00.000000;2020-07-24T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Red de Humanidades Digitales;Q97482734;digital humanities;2018-06-26T00:00:00.000000;2018-07-01T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;El Colegio de México;Q1324001;digital humanities;2018-06-26T00:00:00.000000;2018-07-01T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Mexico City;Q1489;digital humanities;2018-06-26T00:00:00.000000;2018-07-01T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Red de Humanidades Digitales;Q97482734;digital humanities;2018-06-24T00:00:00.000000;2018-07-01T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;El Colegio de México;Q1324001;digital humanities;2018-06-24T00:00:00.000000;2018-07-01T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Mexico City;Q1489;digital humanities;2018-06-24T00:00:00.000000;2018-07-01T00:00:00.000000;Digital Humanities;DH;;conf/dihu
